dataset,sampling_policy,comparison,model,epsilon,N,alpha0,lambda_l1,lmaj_factor,te_robust_loss_mean,te_robust_loss_std,te_cvar_loss_mean,te_cvar_loss_std,te_clean_loss_mean,te_clean_loss_std,val_robust_loss_mean,val_robust_loss_std,val_cvar_loss_mean,val_cvar_loss_std,val_clean_loss_mean,val_clean_loss_std,runtime_sec_mean,runtime_sec_std,stationarity_proxy_mean,stationarity_proxy_std,actual_update_count_mean,actual_update_count_std
breast,clean,erm_clean_path,erm,0.35,2,0.015,0.0,,1.4959240731118126,0.13313973050477657,7.281900614314681,0.5163570994991757,0.09387777930215499,0.03452812509004464,1.4740500873445432,0.12084012048892637,7.323853711350965,0.5352308223668827,0.09640221014247397,0.035746556121898074,0.2407551765441894,0.015935112227305415,0.03682201304587142,0.00259278351774591,1200.0,0.0
breast,uniform_iid_nested,final_path,direct,0.35,2,0.005,0.0001,,1.2047502908835799,0.18274533387733508,5.035819442775862,0.3001114799501919,0.146012106849024,0.0312857888695726,1.2001306446284157,0.26397674987364966,5.051104270408564,0.7177384353335151,0.14854883513282632,0.030434124722852,0.21438860893249506,0.02583380274388285,0.09134154813649104,0.009610976171130716,1200.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.35,2,0.0015,0.003,1.01,0.8827466621234125,0.11915901934347127,3.3506846567122444,0.24060044914597314,0.21592530286365424,0.025496254018674627,0.8705408774553554,0.1646463184977027,3.382289621936941,0.5245031357641005,0.21579127577430218,0.02148435940414407,0.49500112533569335,0.027150621509380357,0.20869771733772172,0.01674235674479991,1200.0,0.0
breast,clean,erm_clean_path,erm,0.35,4,0.015,0.0,,1.6524698389344974,0.14924874880614933,8.099894830603791,0.5719861724263826,0.08775964623594475,0.037734742983288744,1.6287734807742598,0.13930092421636228,8.167400962748456,0.591723107967452,0.0908292148083005,0.0380165855328153,0.3553225040435791,0.021585833306502565,0.02713920705134416,0.002217289817499895,1800.0,0.0
breast,uniform_iid_nested,final_path,direct,0.35,4,0.005,0.001,,1.171809503786578,0.2553061516763558,5.018252095160294,0.5843090904711876,0.1418122100107732,0.03135233380427001,1.1811692798491802,0.29902842785217143,5.0328371167492545,0.9437116562411838,0.14606919348536898,0.034923941804791234,0.34085497856140134,0.044250249972696006,0.12004056886286904,0.03932860803531959,1800.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.35,4,0.001,0.003,1.01,0.801547478395222,0.13520303962811256,2.9811487463709647,0.452408705157225,0.23610671178606743,0.020612799440426318,0.7882380517621353,0.17847009401210437,3.0122915743008485,0.6592346459238584,0.23593825619445674,0.0251761393899887,0.8699615478515625,0.04311611787692115,0.30796056675064587,0.08512001975380003,1800.0,0.0
breast,clean,erm_clean_path,erm,0.35,8,0.015,0.0,,1.7635801491403502,0.1660422987226447,8.690143232319244,0.6299972358088264,0.08448495607458692,0.040468024193397074,1.7375525274321517,0.15293328984198976,8.779247659457173,0.6459425252014762,0.08786502136433633,0.04011891629326393,0.4798903465270996,0.023335562925731183,0.02195583078103824,0.0019256693744514274,2400.0,0.0
breast,uniform_iid_nested,final_path,direct,0.35,8,0.005,0.001,,1.0506182023105861,0.34596409645067633,4.56293602359182,0.9566204355099104,0.1448394976367547,0.03242588334029742,1.0539846859561737,0.3756029701012398,4.5404621349246215,1.2837610670669837,0.14498969585906568,0.031242319847572527,0.5075501441955567,0.029596692302245386,0.16232710145999657,0.07326287490578023,2400.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.35,8,0.001,0.003,1.01,0.7703245056840722,0.1536132447895466,2.92532190361627,0.540044134046002,0.2302467038253609,0.021115133293891603,0.7565209249440212,0.19218939871807145,2.9364525574241966,0.6999677351715392,0.2304196930689641,0.02667817182963286,1.6042990207672119,0.05206740571859072,0.31463899107971144,0.11834996364970057,2400.0,0.0
breast,clean,erm_clean_path,erm,0.35,16,0.015,0.0,,1.8486979615462436,0.1823857101098503,9.149634645248122,0.6897519207029845,0.08250207299257324,0.0428662261861147,1.8203196601657965,0.1634697768469874,9.263998557655356,0.7070985332038661,0.08606616605274706,0.04210242705745165,0.6028282642364502,0.027244622057791847,0.018682779826449662,0.001692843345776381,3000.0,0.0
breast,uniform_iid_nested,final_path,direct,0.35,16,0.005,0.001,,0.8337844092126847,0.20470797665835924,4.001370827507296,0.6702218931182429,0.14521120578483543,0.032235274055390103,0.8236182320478942,0.21875353207003853,3.968961147607595,0.9967092130494621,0.14424756318698875,0.026818849673838,0.9625418186187744,0.02330504929273378,0.21376579842909288,0.13582973625556238,3000.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.35,16,0.001,0.003,1.01,0.6904614274833284,0.10771073758034558,2.715508153048284,0.40783143503756825,0.22684765147850044,0.02078185787662197,0.6747327294005119,0.14465385991035817,2.733979199565641,0.5947393780506633,0.2273902606699615,0.024182678010724466,3.1643231391906737,0.10908893845430369,0.3747094857251792,0.13409658532435523,3000.0,0.0
breast,clean,erm_clean_path,erm,0.35,64,0.015,0.0,,1.9181657682942326,0.19929084858817853,9.524446610152282,0.7504506973608422,0.08123150415651323,0.04500513513431161,1.8874020827455442,0.17350736227601055,9.664470898852654,0.7683208945509942,0.08490283007523626,0.043975017919693396,0.7160664558410644,0.024359398489629824,0.01640702778693748,0.0015017928732445015,3600.0,0.0
breast,uniform_iid_nested,final_path,direct,0.35,64,0.005,0.001,,0.6491264149674448,0.12365765135345133,3.4103017487067993,0.6466335606513018,0.14728538778760322,0.032795640490899454,0.6568968908844165,0.13319989661140258,3.423467344863301,0.7320738562026661,0.14774557878083794,0.026614870088965677,3.697834587097168,0.10539307721691409,0.4372740273219334,0.17173786149062903,3600.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.35,64,0.004,0.003,1.01,0.5918670808270793,0.09928610184754513,2.4737780480723677,0.3666256657108824,0.227403878117713,0.023818870666265816,0.5897813059104856,0.1253122125834966,2.497475200429969,0.5251390036672243,0.22847669320009806,0.024462537572464995,13.170824909210205,0.5370471181153187,0.34353116233551956,0.07555870237021178,3600.0,0.0
breast,clean,erm_clean_path,erm,0.35,256,0.015,0.0,,1.9810474407637304,0.22169278146346252,9.840779448863756,0.8124649655336325,0.08040055112837166,0.046936620942792155,1.9474684487929301,0.18723244058885524,10.005736493080192,0.8341238077085413,0.08413050568918841,0.0457401824054948,0.8315344333648682,0.02186043220839378,0.01472146644224038,0.0013419195459094904,4200.0,0.0
breast,uniform_iid_nested,final_path,direct,0.35,256,0.005,0.001,,0.4758236044268802,0.04791990447135491,2.7476725883644497,0.4360533864104578,0.15002040320194018,0.03173752412214769,0.49182243859959607,0.11381655460750055,2.752999903425135,0.5479349760847726,0.15124058863510237,0.025747698416514902,15.101899433135987,0.5568625529161061,0.4412875553165467,0.11307226686841611,4200.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.35,256,0.004,0.003,1.01,0.4504370544472562,0.028148145788693155,1.9890856907832006,0.2081937737820672,0.23210413465004226,0.025896387463576222,0.4553665905770587,0.061263840934876294,1.9958393734892617,0.26098450955750396,0.23337950231629115,0.02325827051150391,56.52990980148316,2.7391110578885294,0.4448188149949055,0.06192307756312463,4200.0,0.0
